lijphart,raes,loosemorehanby,gallagher,enp,pca,governability,entropy,entropyseatprop,
0.0583333333333333,0.0277777777777778,0.111111111111111,0.0664347819061189,6.10169491525424,5.18254469953744,0.19954648526077,-1.84984505102672,-1.95320889186376,
0.0194444444444444,0.0173611111111111,0.0694444444444444,0.0398686113733537,5.99500416319734,4.52632126681072,0.184455782312925,-1.85483142657192,-1.91895570909738,
0.0416666666666667,0.0277777777777778,0.111111111111111,0.0626079314976925,6.30472854640981,5.21364504772727,0.171462585034013,-1.91106030016617,-1.95798288732322,
0.0277777777777778,0.0125,0.05,0.0334488738299786,7.57894736842105,4.37243200443417,0.137040816326531,-2.03202603428816,-2.05169179194568,
0.0444444444444444,0.0236111111111111,0.0944444444444445,0.0547863414536556,6.79886685552408,4.58706592869942,0.155884353741496,-1.96634148008409,-1.99928448781581,
0.0388888888888889,0.0152777777777778,0.0611111111111111,0.0408248290463863,5.7784911717496,3.6614866749497,0.201360544217687,-1.79558830868673,-1.89576571605491,
0.075,0.0215277777777778,0.0861111111111111,0.0648478751662709,7.37704918032787,4.70393753671172,0.140374149659864,-2.01979351178945,-2.03640839466462,
0.0805555555555555,0.0305555555555556,0.122222222222222,0.0764772216552011,6.12244897959184,2.27637134557838,0.199716553287981,-1.84673016489861,-1.94571229177306,
0.0277777777777778,0.0208333333333333,0.0833333333333333,0.0482726311027299,6.55141037306642,3.91353623420453,0.160487528344671,-1.95284335222122,-1.98094950894352,
0.0222222222222223,0.0125,0.05,0.0331010424661472,5.71882446386021,3.79933922078027,0.198775510204081,-1.81937096744258,-1.90464649217528,
