lijphart,raes,loosemorehanby,gallagher,enp,pca,governability,entropy,entropyseatprop,
0.0166666666666667,0.00694444444444445,0.0277777777777778,0.0184256932797522,5.59006211180124,3.52627944294124,0.187210884353741,-1.84236036613394,-1.85404351234454,
0.0138888888888889,0.00625000000000001,0.025,0.0159571184626056,5.86319218241042,3.03721100539153,0.189342403628118,-1.7870437154214,-1.88641325770347,
0.0138888888888889,0.00625,0.025,0.0154660121189723,6.55737704918033,3.50124235695657,0.166678004535147,-1.87764217996648,-1.95326497856086,
0.0222222222222222,0.00902777777777778,0.0361111111111111,0.0222222222222222,3.73831775700935,3.24298399287017,0.466666666666665,-1.17299347243951,-1.61974884057076,
0.00833333333333333,0.00347222222222222,0.0138888888888889,0.00962250448649376,6.09137055837564,4.74121209422307,0.182913832199546,-1.81299734011523,-1.90031737460217,
0.0138888888888889,0.00833333333333334,0.0333333333333333,0.0184256932797522,6.78605089538172,3.64538138269982,0.158877551020408,-1.91327492375252,-1.98154500458394,
0.00833333333333333,0.00416666666666667,0.0166666666666667,0.0103934927410387,5.87755102040816,3.8094227487341,0.189591836734693,-1.85293318106895,-1.90799139138805,
0.0138888888888889,0.00833333333333334,0.0333333333333333,0.0209717623201965,6.21761658031088,4.11819019124347,0.169206349206349,-1.85000784203502,-1.87508382827955,
0.0194444444444444,0.00833333333333334,0.0333333333333333,0.0215165741455968,6.11724723874257,4.46259367064575,0.179637188208617,-1.83400550427096,-1.89813204140011,
0.0166666666666667,0.00694444444444444,0.0277777777777778,0.0171233722304694,6.50406504065041,4.14241004159745,0.166020408163265,-1.92938444635333,-1.96994031903751,
