CURRENT,PREVIOUS,WEIGHT,NAT,LAB,NZF,UF,ACT,GRN,MAO
MAO,LAB,0.47,2,2,5,1,0,1,10
No Vote,MAO,0.43,9,9,0,0,2,2,9
MAO,NAT,0.05,5,6,0,0,0,0,6
LAB,LAB,0.4,4,7,2,0,0,10,5
NZF,NZF,0.22,3,10,10,0,0,5,10
UF,GRN,0.59,2,8,5,9,0,5,9
LAB,LAB,1.76,5,10,5,5,5,5,10
MAO,MAO,0.27,8,5,2,5,10,7,10
MAO,MAO,0.14,3,3,4,0,0,10,10
MAO,MAO,3.21,0,10,0,0,0,10,10
MAO,LAB,0.14,8,7,4,2,1,1,8
LAB,LAB,0.21,5,7,3,0,0,3,3
NZF,NZF,0.17,0,0,10,0,0,0,0
MAO,LAB,0.29,0,10,5,0,0,10,8
LAB,LAB,0.21,3,10,0,0,0,0,8
MAO,NZF,0.73,0,0,0,0,0,0,10
MAO,LAB,0.47,5,6,3,1,2,4,8
GRN,GRN,1.34,5,7,3,0,3,8,7
LAB,LAB,0.4,6,7,4,3,2,4,3
MAO,LAB,0.14,5,5,2,2,8,8,10
LAB,LAB,0.44,1,5,0,0,0,10,0
MAO,LAB,0.05,9,8,0,0,0,0,8
NZF,MAO,0.22,8,8,9,2,2,7,7
MAO,MAO,0.06,4,1,3,2,3,2,8
No Vote,No Vote,1.76,0,0,0,0,0,0,2
LAB,No Vote,0.4,5,10,0,0,0,10,1
MAO,LAB,0.14,3,5,4,0,0,5,10
NZF,NZF,0.11,7,7,10,2,1,5,10
LAB,LAB,2.36,1,9,0,0,0,3,5
NZF,LAB,0.07,0,6,7,0,0,7,7
NAT,NAT,0.24,7,2,0,3,4,4,5
LAB,LAB,0.21,0,10,8,0,0,3,10
NZF,NZF,0.43,4,9,9,4,2,1,9
LAB,LAB,0.08,4,8,6,0,0,3,4
LAB,LAB,0.87,2,10,10,0,2,9,10
LAB,LAB,0.43,5,10,5,3,1,5,10
MAO,MAO,0.14,5,0,2,9,6,2,10
LAB,GRN,0.09,0,7,7,4,0,2,7
MAO,LAB,0.43,0,10,0,0,0,3,10
MAO,NZF,3.45,5,9,8,0,0,8,10
MAO,No Vote,0.48,0,0,5,0,0,0,10
MAO,DK,0.91,3,2,10,3,0,10,5
LAB,LAB,1.1,7,9,5,5,3,7,7
MAO,LAB,0.05,0,10,0,0,0,0,0
LAB,LAB,0.4,3,7,3,5,5,6,7
LAB,LAB,0.21,6,10,5,2,1,4,5
LAB,LAB,0.1,0,10,0,0,0,10,1
LAB,LAB,1.67,0,6,0,0,0,6,6
LAB,PRO,0.27,4,10,10,0,0,0,3
LAB,LAB,0.21,0,10,2,0,0,0,8
MAO,MAO,0.14,3,3,0,0,0,4,3
MAO,MAO,0.11,7,3,0,2,2,1,8
LAB,LAB,0.4,7,7,4,10,4,4,4
NZF,LAB,0.91,6,8,7,6,1,8,6
LAB,LAB,0.08,0,10,6,0,0,10,0
MAO,LAB,0.14,4,6,0,0,0,6,5
MAO,MAO,0.29,5,5,5,0,5,5,10
