Conservative,200.31,167.259,198,
Greens,0,0,0,
Labour,376.583,387.6,355,
Liberal Democrat,47.0729,68.1054,62,
Other,22.0341,23.0357,22,
Plaid Cymru,0,0,3,
SNP,0,0,6,
