Conservative,197.305,158.245,198,
Greens,0,1.00155,0,
Labour,355.55,366.567,355,
Liberal Democrat,62.0961,85.1318,62,
Other,22.0341,23.0357,22,
Plaid Cymru,3.00465,5.00775,3,
SNP,6.0093,7.01085,6,
