Conservative,208.698,184.847,166,
Greens,0,0,0,
Labour,400.501,408.451,413,
Liberal Democrat,11.9256,27.8264,52,
Other,19.876,19.876,1,
Plaid Cymru,0,0,4,
SNP,0,0,5,
