lijphart,raes,loosemorehanby,gallagher,enp,pca,governability,entropy,entropyseatprop,dm
0.361087778,0.110351042,0.441404167,0.294062156,2.048364154,2.467594216,1,-1.11E-15,-0.928737899,1
0.413775,0.10344375,0.413775,0.318179146,2.143495088,2.649106003,1,-1.11E-15,-1.058864298,1
0.187216944,0.079024514,0.316098056,0.182816866,3.722854188,2.538639811,0.28,-1.46315431,-1.48782846,1
0.3199575,0.079989375,0.3199575,0.242710157,3.856454205,2.587574976,0.466666667,-1.172993472,-1.637607115,1
0.354150833,0.093684931,0.374739722,0.284340355,2.519244227,2.453584427,1,-1.11E-15,-1.279851234,1
0.599786667,0.149946667,0.599786667,0.459828129,1.687763713,2.482772572,1,-1.11E-15,-0.879798989,1
0.411918056,0.102979514,0.411918056,0.317623773,2.685565088,2.473989364,1,-1.11E-15,-1.24888907,1
0.353013611,0.105769861,0.423079444,0.287074659,2.767102229,2.744392139,1,-1.11E-15,-1.266786437,1
0.287419167,0.076359722,0.305438889,0.224935455,4.054054054,2.490123535,0.34,-1.367965652,-1.557762211,1
0.434118611,0.121117986,0.484471944,0.345882336,2.469982847,2.455462706,1,-1.11E-15,-1.113055475,1
0.080992778,0.060134375,0.2405375,0.125251588,5.30191458,2.779473848,0.18547619,-1.757269579,-1.748240179,1
0.362441111,0.094669167,0.378676667,0.28123582,2.295918367,2.234942768,1,-1.11E-15,-1.136136002,1
0.495801389,0.123950347,0.495801389,0.378523882,1.629696695,2.896984776,1,-1.11E-15,-0.754623433,1
0.3049675,0.078916458,0.315665833,0.239599091,2.528977871,2.642887373,1,-1.11E-15,-1.127372218,1
0.290117778,0.074231181,0.296924722,0.229059069,2.711864407,3.166592988,1,-1.11E-15,-1.262687825,1
0.142119167,0.064290278,0.257161111,0.151621695,4.267931239,2.481082494,0.295,-1.527196056,-1.635767331,1
0.412099444,0.104524306,0.418097222,0.323711491,3.116883117,2.334297524,1,-1.11E-15,-1.441617259,1
0.319993889,0.084003264,0.336013056,0.254734729,3.006263048,2.714406989,0.277222222,-1.452617806,-1.26264556,1
0.4525075,0.118358056,0.473432222,0.355869821,2.504347826,3.258551937,1,-1.11E-15,-1.297328484,1
0.3385025,0.094437292,0.377749167,0.27526026,2.295186484,2.584201041,1,-1.11E-15,-1.114576741,1
0.171881944,0.084637639,0.338550556,0.188891386,3.930131004,2.770462615,0.286666667,-1.494528554,-1.547852091,1
0.322336111,0.101621181,0.406484722,0.267012491,2.793946449,2.113190438,0.6575,-0.858133191,-1.171385522,1
0.293034167,0.078501389,0.314005556,0.231941696,2.387267905,2.612908635,1,-1.11E-15,-1.061425511,1
0.520911389,0.130550069,0.522200278,0.400783239,2.223594812,2.411418575,1,-1.11E-15,-1.134306798,1
0.267576111,0.098616528,0.394466111,0.243512566,2.621041136,2.637544311,1,-1.11E-15,-1.253280049,1
0.480817778,0.120204444,0.480817778,0.366288339,1.756954612,2.549173602,1,-1.11E-15,-0.928651094,1
0.467066944,0.116766736,0.467066944,0.356128001,2.662721893,2.560742288,1,-1.11E-15,-1.313309894,1
0.473702778,0.118425694,0.473702778,0.364088012,1.985659129,2.565661274,1,-1.11E-15,-1.036324771,1
0.218594167,0.092317083,0.369268333,0.22228792,3.129074316,2.978117599,0.466666667,-1.172993472,-1.392146276,1
0.412779167,0.103539514,0.414158056,0.320705645,2.388059701,2.758122143,1,-1.11E-15,-1.1161297,1
0.2207825,0.079307778,0.317231111,0.202846901,3.819628647,2.472200991,0.333333333,-1.242453325,-1.50097343,1
0.563088889,0.140772222,0.563088889,0.430923745,1.797304044,2.603011358,1,-1.11E-15,-0.89866627,1
0.341831944,0.104874861,0.419499444,0.280209483,2.040238028,2.52954142,1,-1.11E-15,-0.924760322,1
0.420938611,0.105234653,0.420938611,0.321445555,2.184466019,3.098409219,1,-1.11E-15,-1.135654569,1
0.278813611,0.087063403,0.348253611,0.235262863,2.75334608,2.395898056,1,-1.11E-15,-1.174953912,1
0.383926667,0.101134583,0.404538333,0.303628586,2.561366062,2.505537131,1,-1.11E-15,-1.117543709,1
0.298607778,0.096199514,0.384798056,0.256509413,2.913800081,2.580049687,0.706666667,-0.853127729,-1.283034005,1
0.516611667,0.129152917,0.516611667,0.400220774,2.121390689,2.507114832,1,-1.11E-15,-1.135309416,1
0.448250278,0.131627986,0.526511944,0.357067086,2.158273381,2.552831265,1,-1.11E-15,-1.078643316,1
0.129572778,0.084320764,0.337283056,0.183366178,3.538083538,3.020935752,0.333333333,-1.098612289,-1.407633353,1
0.356773889,0.096692222,0.386768889,0.280521522,2.457337884,2.542146307,1,-1.11E-15,-1.143129159,1
0.40905,0.102768403,0.411073611,0.317318238,1.687368174,2.90486473,1,-1.11E-15,-0.780336908,1
0.250629722,0.082956319,0.331825278,0.220021236,3.015075377,2.966792326,0.333333333,-1.098612289,-1.212031347,1
0.350005833,0.106725208,0.426900833,0.292484423,3.150984683,2.341931147,0.358333333,-1.284558172,-1.315108857,1
0.121281111,0.086140903,0.344563611,0.181064428,4.161849711,2.496989311,0.283968254,-1.472859421,-1.560188,1
0.352322778,0.101038125,0.4041525,0.280056522,2.03562341,2.33114918,1,-1.11E-15,-0.961749649,1
