Labour,38.7,41
National,30.5,22
Alliance,7.7,1
ACT NZ,7,0
Greens,5.2,1
NZ First,4.3,1
United,0.5,1
Christian Heritage,2.4,0
Aotearoa Legalise Cannabis,1.1,0
Future NZ,1.1,0
Others,1.4,0
