National Party,"1058636",42
Labour Party,"614937",22
Green Party,"247372",0
New Zealand First Party,"147544",0
M?ori Party,"31982",3
Mana,"24168",1
ACT New Zealand,"23889",1
United Future,"13443",1
Conservative Party,"59237",0
Aotearoa Legalise Cannabis Party,"11738",0
Democrats for Social Credit,"1714",0
Libertarianz,"1595",0
Alliance,"1209",0
