"E3: Party Vote in 2008","E14: Party Vote in 2005","Absolutely Best Weight","NAT","LAB","NZF","UF","ACT","GRN","MAO","PRO"
Labour,Labour,0.22,0,10,10,0,0,5,10,0
Labour,Labour,1.16,0,10,8,1,5,8,10,1
Labour,Labour,0.24,0,10,4,0,0,7,7,0
Maori,DK,0.25,3,5,5,0,0,4,10,0
Labour,Labour,0.77,2,10,2,0,0,7,8,0
Labour,Labour,0.12,0,10,5,5,0,10,10,5
Labour,Labour,0.16,4,8,2,0,0,10,10,0
Labour,DK,1.45,6,9,4,5,5,5,5,5
Green,Green,0.43,0,4,0,2,0,10,8,7
Maori,Maori,1.45,3,10,0,0,0,6,10,0
Labour,Labour,0.88,3,7,2,1,2,1,0,1
No Vote,Labour,3.28,5,10,1,1,1,10,10,2
Labour,Labour,0.44,7,10,10,0,0,5,10,5
Labour,Labour,1.03,5,10,4,3,3,5,5,3
Maori,Labour,0.44,0,5,5,0,2,8,9,0
Maori,Labour,0.16,6,8,6,0,1,6,8,0
Green,Green,0.46,0,1,0,1,1,10,10,5
Labour,Labour,1.82,3,10,3,0,0,3,10,0
Labour,Labour,0.35,5,7,5,3,2,7,7,5
No Vote,DK,0.77,5,8,5,0,0,7,8,0
Maori,Maori,0.14,4,2,4,0,0,7,10,0
Labour,Labour,0.36,8,10,9,4,5,6,7,3
National,No Vote,0.42,10,0,0,4,5,5,0,0
No Vote,No Vote,3.28,0,10,0,0,0,0,0,0
No Vote,No Vote,1.45,1,10,5,0,0,10,10,0
Labour,Maori,0.37,0,0,0,0,0,0,5,0
Labour,Maori,0.44,2,6,0,0,0,6,10,0
Labour,Labour,0.77,0,10,8,0,0,5,10,9
Labour,Labour,0.37,5,8,2,0,2,5,8,0
Green,Labour,0.50,2,8,0,0,0,8,0,0
Maori,Labour,0.10,4,7,0,1,0,10,10,5
Green,Green,0.38,2,8,6,5,2,10,9,0
Maori,No Vote,0.25,6,7,10,7,0,10,10,10
Labour,Labour,0.22,4,7,2,2,4,7,7,2
No Vote,No Vote,0.91,0,5,0,0,0,5,10,0
Labour,No Vote,0.21,5,10,10,0,0,10,9,5
Maori,Green,0.13,5,5,5,4,3,5,6,5
No Vote,Labour,2.26,5,9,0,0,0,0,0,0
NZ First,Labour,0.35,0,0,0,0,0,0,0,0
Maori,Labour,0.06,5,8,5,5,5,6,9,6
Maori,Labour,0.58,0,10,0,0,0,0,5,0
Labour,Labour,0.29,7,8,2,0,0,8,9,5
Maori,National,0.43,7,0,6,0,0,0,10,0
Labour,Labour,1.10,0,10,0,0,0,10,10,5
Labour,Labour,0.06,3,10,6,8,0,7,10,0
No Vote,Labour,0.83,8,6,9,5,9,5,4,5
National,National,3.45,10,0,0,5,10,0,5,0
National,National,2.19,9,5,4,4,8,2,4,4
Maori,Labour,0.18,5,0,5,0,0,0,5,0
Labour,Labour,0.44,6,8,0,0,0,0,0,0
No Vote,No Vote,1.76,5,5,2,4,2,0,6,0
Labour,Labour,0.21,7,9,3,0,0,6,10,0
Maori,Labour,0.05,7,3,1,1,0,1,2,1
