"E3: Party Vote in 2008","E14: Party Vote in 2005","Absolutely Best Weight","NAT","LAB","NZF","UF","ACT","GRN","MAO","PRO"
NZ First,Labour,0.43,5,5,5,3,3,4,6,0
NZ First,NZFirst,0.57,1,10,10,0,0,8,0,0
Green,Labour,0.54,4,6,0,0,0,9,7,0
Labour,Labour,0.77,2,10,0,0,0,7,9,0
Maori,Labour,0.43,5,6,6,4,3,4,7,4
No Vote,Maori,0.91,0,7,0,0,0,5,10,0
Maori,Labour,0.25,3,8,0,0,5,5,10,0
Maori,Maori,0.11,8,8,6,6,6,8,0,0
Labour,Labour,1.82,1,10,7,4,4,5,7,3
Maori,Maori,0.05,2,8,5,5,5,5,10,5
Labour,Maori,0.21,2,10,6,1,1,6,1,9
Green,Maori,0.10,3,4,0,0,0,7,10,3
Maori,Labour,0.47,5,5,0,0,0,5,10,0
NZ First,NZFirst,0.15,5,8,9,5,1,4,9,6
National,National,0.30,10,0,0,0,10,0,6,0
Labour,Labour,0.15,3,9,5,3,1,5,10,0
Green,Maori,0.88,2,8,0,0,0,9,10,3
Labour,,0.08,5,9,9,1,1,5,5,5
Maori,Maori,0.14,5,5,5,6,0,0,10,0
Maori,Green,0.06,0,6,6,0,0,6,10,0
Labour,Labour,0.09,0,10,4,4,0,6,8,0
NZ First,Labour,0.07,6,4,10,0,0,0,10,10
Labour,Green,3.02,0,10,5,2,2,9,9,2
Maori,Labour,0.53,1,5,6,4,0,5,10,5
NZ First,Labour,0.77,0,8,10,0,0,2,5,0
Labour,Labour,0.44,5,8,0,0,0,3,10,3
Labour,Labour,0.59,4,9,5,7,4,4,8,6
Green,Green,0.23,1,7,2,0,0,9,9,9
Labour,Labour,0.37,0,9,3,1,1,8,7,1
Maori,Labour,0.73,0,8,5,0,0,5,10,0
National,Labour,0.98,5,5,0,0,0,5,10,0
Maori,Maori,0.06,6,4,3,3,4,9,9,1
Labour,Labour,0.37,0,9,2,0,0,3,0,0
Labour,Labour,0.08,7,7,5,5,6,5,7,5
Labour,Labour,0.09,0,10,0,0,0,0,0,0
National,National,0.21,10,6,0,2,7,7,10,0
Labour,Labour,0.40,0,7,0,0,0,3,8,5
Maori,Labour,0.27,5,7,5,2,1,2,8,1
Labour,Labour,0.40,0,0,0,0,0,0,0,0
Maori,NZFirst,0.18,8,0,0,0,0,0,0,0
National,National,0.42,9,0,7,6,6,0,6,2
NZ First,Labour,0.20,3,7,7,5,5,6,6,5
Maori,Maori,0.25,10,5,5,5,5,5,10,5
Green,DK,0.11,2,8,2,5,0,9,6,5
Labour,Labour,0.16,5,10,3,3,3,4,3,3
No Vote,DK,0.77,4,7,5,0,0,5,8,0
NZ First,NZFirst,0.22,9,8,9,6,6,8,9,0
NZ First,DK,0.35,6,7,8,6,6,8,8,7
Labour,DK,0.88,3,10,1,0,0,5,8,6
Maori,No Vote,0.14,1,8,7,1,1,7,9,7
Labour,Labour,0.16,0,10,7,6,5,7,3,4
Green,Labour,0.98,2,5,4,1,1,8,5,0
National,Labour,0.09,8,3,0,0,0,3,10,3
Labour,Labour,0.19,0,10,5,0,0,10,5,8
Labour,Labour,0.11,4,8,5,5,3,6,7,5
Labour,Labour,0.21,4,7,5,0,1,10,10,7
NZ First,NZFirst,0.11,5,4,6,2,2,4,7,2
Labour,Labour,0.13,3,10,5,2,0,5,9,5
NZ First,DK,0.57,0,0,0,0,0,0,0,0
Labour,Labour,0.09,5,10,1,1,1,9,9,6
Labour,National,0.19,7,7,4,2,2,8,10,2
Labour,Labour,0.88,0,5,2,2,3,2,7,2
Labour,Labour,0.09,5,8,5,0,0,0,8,0
Labour,Labour,0.16,5,8,5,5,7,5,9,8
Labour,Labour,0.09,0,10,0,0,0,0,7,0
Labour,Labour,0.87,4,10,0,0,0,5,9,0
Progressive,Labour,0.79,0,6,2,1,0,3,1,0
Labour,Labour,0.27,0,1,3,0,0,4,0,2
Labour,Labour,0.09,0,10,10,0,0,5,1,0
Labour,Labour,0.27,0,10,0,0,0,0,0,0
Maori,Labour,0.25,7,9,9,5,5,7,8,7
Maori,Maori,1.22,4,4,3,2,2,7,10,6
Labour,Labour,0.37,0,10,7,4,2,8,7,3
Green,Labour,0.43,4,6,2,2,2,7,4,2
Labour,Labour,0.71,1,10,7,3,0,9,7,2
Green,Labour,0.26,5,8,3,0,5,10,5,7
Maori,Maori,0.05,3,8,8,1,1,9,10,0
Labour,Labour,0.09,1,9,1,0,0,7,8,0
National,National,0.18,6,5,5,0,3,0,3,1
Maori,DK,0.27,0,0,4,0,0,0,10,0
Maori,DK,0.18,0,10,5,0,0,0,0,0
National,Labour,0.18,7,5,4,8,8,8,10,6
Labour,Labour,0.16,8,9,4,1,1,1,9,1
Maori,Labour,0.43,0,5,10,0,0,0,10,10
Labour,Labour,0.40,7,9,5,7,0,0,8,0
Maori,Labour,0.05,0,6,3,0,0,0,7,0
Labour,Labour,0.37,0,10,0,0,0,0,0,0
Maori,National,0.13,10,5,0,2,8,7,8,5
Green,Green,0.10,3,3,0,1,0,9,9,2
Labour,Labour,0.77,5,5,0,0,0,0,0,0
Labour,Labour,0.30,6,6,0,0,6,6,0,0
National,Green,0.77,10,4,1,0,0,5,5,5
National,National,0.33,8,0,0,0,6,0,0,3
Labour,Labour,0.47,5,7,6,1,2,4,1,0
National,National,0.33,10,5,2,8,10,0,1,0
Green,Green,0.68,3,8,0,0,1,9,6,0
Labour,Labour,0.34,8,7,0,0,0,6,6,0
Labour,Labour,0.98,8,0,5,0,0,8,5,6
NZ First,Labour,0.24,5,9,9,3,1,4,7,8
Labour,Labour,2.16,5,10,5,0,0,7,5,5
National,National,0.35,10,0,0,0,0,0,0,0
Act,National,0.55,6,5,0,3,5,5,5,5
National,Labour,0.33,10,2,5,8,5,1,8,2
Progressive,Green,0.33,6,6,3,3,0,8,3,8
Act,Act,0.41,7,3,0,5,9,0,4,5
NZ First,,0.24,5,5,6,0,0,6,0,5
National,Labour,0.67,8,5,5,5,5,5,3,5
National,National,0.86,10,0,0,1,5,3,0,1
National,National,0.42,8,1,0,0,2,1,0,0
National,Act,2.91,8,2,5,7,7,2,5,2
National,Labour,3.27,7,3,1,0,0,7,3,0
National,DK,0.77,6,4,2,1,1,4,2,0
National,Labour,1.52,0,0,0,0,0,0,0,0
Labour,Labour,0.31,0,10,0,0,0,0,0,0
National,National,0.77,8,3,3,5,3,3,0,0
National,DK,0.35,5,9,0,0,0,0,0,0
United F,No Vote,0.75,0,0,0,10,0,0,0,0
NZ First,No Vote,2.35,0,0,10,0,0,10,5,0
National,Labour,0.66,7,7,5,3,6,4,0,0
National,Labour,0.86,10,0,0,2,9,0,10,0
Labour,Labour,0.60,5,5,5,0,0,0,0,5
National,National,0.66,10,2,4,3,7,2,4,1
NZ First,National,0.24,7,6,7,6,4,5,3,5
National,National,0.86,0,0,0,0,0,0,0,0
Green,Labour,0.95,4,9,1,1,1,8,1,1
National,National,0.53,8,2,0,5,5,4,5,3
Green,Labour,0.35,5,9,2,5,2,9,5,5
National,National,0.34,9,3,2,2,8,2,2,2
National,National,0.67,4,2,2,0,0,3,0,0
National,Labour,0.67,5,5,5,1,1,0,5,2
Green,Labour,0.42,3,7,0,0,0,8,0,0
Labour,Labour,0.15,5,8,2,4,0,8,6,7
National,No Vote,0.38,6,4,1,2,3,5,5,3
Labour,Labour,0.34,0,10,7,3,0,8,2,5
NZ First,Labour,0.18,7,10,7,1,0,9,6,5
Act,National,0.55,6,4,2,5,6,4,5,5
National,National,0.26,9,2,5,5,3,5,0,2
National,National,0.26,8,2,1,5,7,2,5,1
NZ First,Green,0.84,8,8,7,0,0,5,8,0
National,NZFirst,0.17,6,2,5,5,6,1,5,3
Labour,No Vote,0.34,3,10,0,0,0,8,8,0
National,National,0.35,10,0,0,5,5,0,0,0
NZ First,NZFirst,0.25,0,8,8,0,0,8,0,8
National,Labour,0.67,9,8,1,1,4,1,4,0
Green,NZFirst,0.38,8,5,5,5,3,8,3,6
Act,National,1.59,10,1,1,5,10,1,5,5
National,Act,0.67,10,3,3,2,3,3,2,2
National,National,0.77,9,4,0,5,5,5,3,6
National,National,0.86,10,5,3,5,7,2,6,6
National,National,0.66,9,6,1,7,6,4,4,1
National,Labour,0.17,7,6,0,0,0,0,0,0
National,National,0.42,7,3,4,5,5,6,1,3
National,National,0.35,9,1,0,0,6,1,5,0
Labour,Labour,0.30,7,7,0,0,0,5,0,6
National,United F,0.66,8,3,2,7,7,3,3,2
National,No Vote,1.80,9,7,2,2,4,1,0,2
National,National,4.48,10,0,0,0,0,0,0,0
Green,Labour,0.38,5,7,2,0,0,3,1,4
National,National,1.52,8,3,2,0,5,5,3,0
National,National,0.86,8,2,0,0,6,5,5,0
National,National,3.33,5,0,0,0,0,0,0,0
National,National,0.86,8,1,0,4,7,0,5,1
Act,Act,1.25,7,1,0,2,9,1,5,0
Labour,Labour,2.16,8,8,0,2,0,1,5,2
Maori,National,0.19,7,7,1,1,1,3,9,1
National,National,0.33,10,3,0,0,1,1,0,0
National,National,0.33,10,6,7,8,9,3,4,5
National,Labour,0.33,0,0,0,0,0,0,0,0
National,National,0.35,10,5,0,0,2,2,4,0
Labour,Labour,0.60,3,9,8,0,5,5,0,0
National,National,0.17,8,3,0,4,3,3,5,1
Labour,Labour,0.60,5,8,2,0,1,1,0,0
National,Labour,3.27,10,4,2,7,7,5,8,5
Act,DK,0.82,7,5,5,3,3,6,3,3
Green,NZFirst,3.20,5,9,5,5,0,8,8,8
Green,Labour,0.46,3,8,1,1,1,9,8,7
National,National,0.66,6,4,3,5,4,3,6,2
NZ First,Labour,0.38,5,5,0,3,6,9,5,5
National,Labour,0.86,8,4,1,3,4,2,6,1
NZ First,DK,1.18,10,0,9,4,7,5,6,3
National,NZFirst,0.35,10,4,10,3,3,5,3,3
No Vote,Green,1.21,7,5,1,1,1,5,5,5
National,National,0.34,8,5,1,7,6,7,0,0
National,National,1.48,7,2,0,3,6,5,0,0
Act,National,0.37,7,1,2,4,7,0,2,1
National,National,0.35,8,5,7,7,3,5,0,0
Labour,Labour,0.77,1,10,5,0,0,6,5,10
National,National,0.86,9,8,0,1,1,0,0,0
National,DK,0.67,5,5,0,1,1,0,0,1
National,NZFirst,0.35,7,1,2,0,3,1,1,0
Labour,Progressive,0.98,5,8,0,0,0,0,0,2
National,Labour,1.52,6,6,2,0,0,2,3,0
National,National,2.92,7,2,2,0,0,0,0,0
No Vote,DK,1.39,0,0,0,0,0,0,0,0
National,National,0.67,10,3,0,8,9,0,0,0
Labour,Labour,0.60,5,10,10,0,0,0,0,0
Labour,Labour,0.98,7,6,3,0,0,0,2,0
NZ First,NZFirst,0.79,0,5,10,0,0,0,0,5
National,National,3.05,8,5,4,5,7,8,6,5
National,National,1.48,10,2,3,5,5,8,5,5
National,,0.35,5,3,3,2,2,2,0,0
NZ First,National,0.24,10,0,10,0,0,0,0,0
National,Labour,0.77,8,8,3,1,2,5,8,1
National,United F,0.77,8,3,5,9,5,4,9,5
Labour,Labour,1.47,4,10,5,0,0,5,0,0
National,National,0.35,10,0,4,5,5,2,4,2
Labour,Labour,0.31,8,10,5,5,5,0,0,0
National,National,2.42,10,1,5,5,5,1,5,5
National,National,0.86,9,2,0,2,7,0,1,3
Labour,Labour,0.30,5,10,6,3,3,6,2,10
NZ First,No Vote,2.35,5,7,10,3,0,0,0,8
National,Act,0.86,8,3,2,4,8,2,6,2
No Vote,No Vote,0.47,6,5,2,3,3,3,1,0
Labour,Labour,1.48,2,10,1,2,0,4,0,5
National,National,1.76,7,4,2,6,6,5,1,5
NZ First,No Vote,2.59,7,6,5,0,4,0,0,0
National,National,0.88,10,0,2,0,0,3,0,0
Labour,Labour,1.47,5,5,0,0,0,0,0,0
National,National,0.35,8,4,3,3,2,2,1,2
National,National,0.88,10,8,0,6,0,5,0,0
Labour,Labour,2.16,0,10,2,2,2,2,2,2
No Vote,No Vote,4.06,7,9,5,5,5,9,8,5
Labour,DK,0.34,5,5,0,0,0,5,0,0
National,National,1.52,8,4,7,5,7,1,0,1
Green,No Vote,2.04,4,7,2,0,1,10,9,0
Labour,Green,0.34,0,10,2,2,0,10,5,10
Labour,Labour,1.36,5,5,5,5,5,5,6,0
Bill and Ben,Labour,,0,9,5,5,5,7,10,5
National,Act,0.88,10,0,3,5,10,0,4,5
National,National,0.34,8,2,0,6,7,4,2,2
Labour,Labour,3.22,10,10,0,0,0,0,0,0
National,National,0.35,10,6,0,7,0,0,5,0
No Vote,Labour,1.62,5,8,0,0,0,0,0,0
Green,Labour,2.04,5,5,2,0,2,7,4,0
National,No Vote,1.48,10,0,0,4,9,1,8,0
Act,National,0.72,8,2,0,5,7,7,0,0
United F,Act,1.06,2,2,0,8,8,5,4,3
National,National,0.88,9,3,0,1,6,0,5,0
National,DK,0.38,8,4,3,6,8,2,1,1
Labour,Labour,1.84,5,8,3,3,5,5,8,5
NZ First,NZFirst,0.48,0,7,8,0,0,0,0,0
No Vote,DK,0.70,0,0,0,0,0,0,0,0
NZ First,NZFirst,0.63,3,6,10,3,2,5,6,5
Labour,Labour,5.28,0,10,5,5,5,5,5,5
No Vote,No Vote,5.28,0,0,0,0,0,0,0,0
National,National,1.52,7,2,0,0,0,10,0,0
No Vote,,5.33,0,0,0,0,0,0,0,0
Labour,Labour,1.66,3,9,0,1,0,3,1,0
Act,DK,1.63,8,6,4,0,8,7,0,0
National,National,5.28,9,3,5,6,7,4,5,4
National,Labour,0.88,7,7,3,7,7,5,7,5
Labour,Labour,0.79,5,7,0,5,5,7,0,5
Labour,Green,1.36,1,8,1,0,1,7,0,0
Labour,Green,1.36,2,8,0,0,1,8,0,0
National,National,1.76,6,6,3,2,3,1,4,0
National,National,0.38,7,4,2,5,5,7,5,5
National,Green,1.43,7,5,0,1,1,9,5,1
Labour,No Vote,0.60,6,4,4,2,2,2,3,2
Labour,Labour,0.60,1,9,4,6,3,7,8,2
National,Labour,1.52,8,6,7,3,3,5,1,1
No Vote,Labour,5.28,5,5,4,4,4,3,3,3
Act,National,1.63,9,0,0,2,10,0,2,2
Labour,Labour,0.60,0,0,0,0,0,0,0,0
National,No Vote,1.48,7,5,5,5,5,5,5,5
Green,Green,1.67,3,7,5,5,5,10,5,5
Labour,Labour,1.36,5,8,8,3,3,5,5,3
National,No Vote,1.52,8,6,5,5,7,5,5,5
National,DK,1.00,8,2,1,5,5,5,0,0
National,No Vote,1.00,7,4,0,0,0,4,0,0
No Vote,DK,5.32,0,0,0,0,0,0,0,0
No Vote,No Vote,5.32,0,0,0,0,0,5,0,0
National,Labour,2.42,8,7,10,0,7,7,0,0
National,National,0.33,10,3,3,3,8,3,3,3
Progressive,Progressive,2.35,0,10,0,0,0,2,4,9
United F,United F,1.99,6,2,0,8,1,1,5,1
Labour,Labour,0.77,3,8,1,1,0,8,5,5
National,No Vote,1.17,8,6,2,0,0,4,0,0
Act,Act,0.71,7,1,0,0,10,0,5,0
National,National,0.26,5,6,4,4,4,4,4,4
National,National,0.33,8,5,4,4,5,0,5,0
National,National,0.51,10,0,3,8,6,4,3,0
National,Labour,0.86,7,3,0,1,2,2,2,0
National,DK,1.65,0,0,0,0,0,0,0,0
National,National,1.65,7,4,1,1,1,0,0,1
National,National,1.23,10,0,0,9,8,0,0,0
National,National,0.86,9,7,3,3,7,6,4,4
National,Labour,3.03,8,8,3,2,2,8,2,2
National,No Vote,1.17,6,5,1,6,2,5,6,4
National,National,0.53,10,2,2,3,6,1,5,3
National,National,1.80,8,3,0,0,5,0,0,0
Maori,DK,2.12,5,5,3,3,3,3,10,3
No Vote,No Vote,3.50,7,5,3,0,7,3,5,4
National,No Vote,0.66,5,5,10,5,5,5,5,5
Labour,No Vote,1.05,3,9,0,0,0,2,0,0
National,NZFirst,0.33,8,6,6,0,0,2,5,6
National,National,0.51,9,1,7,5,7,3,6,2
Labour,Labour,1.56,0,10,2,0,0,3,2,1
National,DK,0.66,7,5,2,3,4,4,6,3
Bill and Ben,DK,3.39,6,5,0,3,4,0,0,3
National,National,3.03,9,5,3,2,3,0,3,0
United F,United F,0.62,7,3,0,8,4,4,2,4
Labour,Labour,0.46,5,10,5,4,0,9,4,9
National,National,0.86,10,4,0,1,7,0,2,0
Labour,Green,0.59,2,8,2,1,0,10,3,10
Act,National,0.93,6,5,1,0,6,1,0,0
National,DK,0.33,10,8,1,4,7,6,3,0
National,National,1.10,10,0,5,5,10,0,3,0
Labour,National,0.77,5,7,1,0,0,3,1,0
National,Labour,0.86,8,0,0,3,3,6,0,0
National,National,0.53,10,0,6,6,10,0,6,0
Republic,United F,4.48,7,2,2,6,5,5,5,1
National,National,1.65,8,5,4,4,7,7,6,5
Labour,Labour,1.48,3,8,2,0,2,6,5,5
Labour,Labour,0.30,0,9,6,0,0,8,0,8
National,National,1.10,4,4,0,0,0,0,0,0
Labour,National,0.77,10,0,0,5,7,0,6,0
National,National,0.38,10,2,0,5,9,0,2,3
National,Act,0.26,10,4,0,5,8,5,5,5
Green,Green,1.20,0,10,0,0,0,10,5,0
Labour,Labour,0.77,3,4,2,4,3,4,1,5
Progressive,Labour,0.43,6,4,1,5,4,0,0,6
National,Labour,1.10,4,1,2,2,1,0,0,3
National,National,0.33,7,2,4,4,6,1,4,1
National,NZFirst,0.53,10,4,1,1,3,0,7,0
Act,National,0.35,9,2,2,5,7,0,5,1
National,Labour,1.80,8,8,8,5,1,6,6,6
National,National,1.80,8,2,5,5,5,0,2,4
Labour,Labour,0.77,5,9,2,2,2,2,2,1
Labour,Labour,0.77,0,8,0,0,0,3,0,0
Labour,Labour,1.48,2,10,2,5,6,10,5,0
National,National,1.65,10,2,2,0,10,1,3,0
Green,Labour,1.81,1,8,4,4,0,10,7,4
Labour,Labour,0.77,0,7,5,0,0,0,5,10
National,National,0.53,7,6,2,2,2,2,0,0
National,Labour,1.80,7,6,5,4,6,4,3,3
Labour,Act,1.10,1,6,1,1,0,1,1,0
National,National,1.80,10,0,0,7,10,0,5,5
National,No Vote,2.65,7,6,2,2,8,7,5,2
National,Labour,0.86,5,5,3,3,3,0,0,3
National,Green,0.66,8,6,2,0,6,8,0,0
National,NZFirst,0.33,6,0,4,4,3,0,0,0
Labour,Labour,0.77,3,8,7,0,5,5,0,0
Labour,NZFirst,0.30,5,8,0,2,1,4,0,0
Labour,Labour,1.48,0,10,6,5,10,10,0,0
National,National,0.86,10,0,0,5,8,0,5,0
National,National,2.91,10,0,0,2,5,0,0,0
Labour,Labour,0.98,0,8,10,5,5,0,0,2
National,NZFirst,0.33,6,2,6,0,5,0,5,0
National,National,0.33,8,0,0,0,6,0,3,1
Labour,National,0.34,8,7,0,2,5,5,4,0
NZ First,Labour,5.32,5,6,6,0,0,0,0,0
National,National,1.80,9,6,4,4,6,0,5,2
Labour,Labour,0.30,3,9,7,2,0,10,2,2
National,National,0.86,9,1,1,5,8,3,7,1
National,National,0.33,10,0,1,5,5,1,5,0
No Vote,National,2.16,7,4,0,1,4,5,2,0
Labour,Labour,0.30,7,10,10,5,2,2,6,2
Labour,Labour,4.48,1,9,5,4,4,8,4,4
National,National,1.65,8,0,0,5,8,0,0,0
No Vote,No Vote,1.56,9,2,0,0,8,0,0,0
National,United F,0.33,7,2,0,3,5,2,4,4
National,National,0.33,10,0,0,4,4,0,4,0
National,National,0.33,10,2,4,4,4,0,4,0
Act,Act,0.93,10,4,4,5,10,1,5,3
Labour,Labour,0.77,4,9,0,1,4,5,5,5
National,National,0.33,8,3,1,0,0,5,4,0
Labour,Labour,4.48,1,10,3,2,0,5,3,5
National,No Vote,1.17,9,10,0,0,0,5,3,0
Labour,Labour,0.30,1,10,0,0,0,0,0,0
Progressive,Labour,0.69,6,8,0,1,1,5,4,5
National,Labour,1.10,3,0,0,0,0,0,0,0
Labour,Labour,0.98,5,5,5,1,1,3,1,5
National,Labour,0.33,8,4,3,1,5,1,6,1
National,National,0.33,8,5,6,0,4,1,4,0
National,National,0.33,10,0,0,3,5,0,0,0
Maori,Labour,1.80,1,7,3,2,3,7,7,5
Labour,No Vote,0.48,5,7,7,3,0,5,4,4
Labour,Labour,1.61,7,7,0,1,1,8,7,3
National,National,0.33,6,2,2,2,3,0,3,1
No Vote,United F,0.65,4,6,8,8,8,7,0,4
National,National,0.38,10,5,0,8,8,10,0,5
No Vote,No Vote,2.16,7,5,4,4,7,8,0,0
National,National,0.86,9,5,6,6,7,6,8,5
Labour,National,0.46,8,10,1,4,10,10,0,10
Kiwi,United F,1.01,8,3,9,8,3,2,5,7
Kiwi,NZFirst,1.01,7,4,5,6,3,3,5,5
Labour,Labour,0.48,2,9,1,3,1,2,0,9
Labour,Labour,0.77,2,10,5,1,0,8,5,9
NZ First,Labour,0.24,7,8,7,2,0,0,0,2
National,National,0.33,9,6,0,0,0,5,6,0
National,National,0.66,7,2,1,5,5,0,7,3
National,National,1.56,9,1,0,1,5,1,5,1
National,National,0.86,10,5,2,3,4,2,3,2
Labour,Labour,0.48,0,10,5,0,0,1,5,8
National,National,1.10,8,2,1,0,4,0,5,0
No Vote,National,1.56,8,1,0,7,3,0,7,2
Labour,Labour,0.48,5,5,5,0,0,5,0,0
Labour,Labour,0.48,7,9,6,4,3,5,5,8
National,Labour,1.65,7,4,1,7,7,7,7,0
Family,DK,3.10,5,3,2,6,4,1,5,2
NZ First,Labour,0.79,8,5,10,0,5,0,0,5
NZ First,Labour,2.09,0,5,5,0,0,5,0,0
Green,Green,0.92,4,6,2,2,0,9,4,1
National,National,1.17,10,2,6,6,7,1,1,0
National,National,1.80,9,3,2,2,5,1,1,3
Labour,Labour,0.77,1,9,0,1,0,10,5,0
Labour,Labour,0.37,6,8,5,2,0,2,3,1
NZ First,NZFirst,0.38,5,9,9,5,0,2,5,7
National,National,0.53,8,3,5,5,7,3,0,0
NZ First,NZFirst,0.38,0,0,0,0,0,0,0,0
Green,Green,0.36,1,8,0,0,0,8,0,0
National,National,0.33,9,2,4,4,5,4,5,2
Green,Labour,0.46,4,9,0,5,0,9,5,10
National,National,0.33,10,0,2,2,10,3,8,8
Labour,Labour,0.37,4,7,1,3,1,6,2,0
National,NZFirst,0.86,9,4,8,1,0,0,0,0
National,National,0.42,9,6,3,3,6,5,3,5
United F,United F,0.70,6,5,3,8,3,4,4,3
NZ First,NZFirst,0.24,4,4,4,0,0,0,0,0
Labour,Labour,1.61,0,10,5,0,0,8,8,9
National,National,0.33,9,5,3,5,8,3,5,0
Labour,Labour,0.30,2,8,0,0,0,5,0,2
United F,United F,1.41,5,5,3,8,7,3,5,2
Labour,Labour,0.77,0,10,4,0,0,3,0,5
National,No Vote,2.65,7,5,1,0,5,7,3,0
Green,Green,2.91,5,7,1,0,2,10,6,7
Act,No Vote,0.45,7,0,4,0,8,0,0,0
National,National,0.53,8,5,2,3,4,6,1,1
National,National,0.86,8,5,6,0,0,5,0,0
National,Labour,3.05,8,4,3,6,2,6,5,3
National,National,0.53,10,8,0,0,0,0,0,0
Labour,Labour,0.46,7,8,2,7,5,8,4,7
Act,NZFirst,1.77,7,4,5,3,8,1,5,5
Act,Act,0.93,7,3,3,4,8,0,6,0
National,National,1.17,8,2,6,3,0,2,7,5
National,National,0.86,10,4,0,6,8,8,4,0
National,National,0.42,7,4,2,5,5,2,3,0
National,National,0.86,9,3,0,1,2,2,0,0
Family,Destiny,1.62,3,0,0,0,0,0,0,0
Labour,Labour,0.77,2,10,8,2,0,8,6,10
Progressive,Labour,2.87,3,6,1,1,1,2,0,8
Act,National,0.41,8,4,0,5,6,2,5,0
National,National,0.33,10,0,0,0,5,0,5,0
NZ First,Labour,0.24,3,7,7,0,0,5,3,0
National,National,0.47,10,0,0,8,8,5,5,0
National,DK,0.86,10,1,1,1,1,1,1,1
Labour,Labour,0.98,5,5,7,5,5,7,1,5
National,National,0.86,8,3,3,6,6,3,3,6
National,National,0.33,10,0,2,5,6,0,7,4
Labour,Labour,0.77,5,10,5,5,3,2,5,0
National,Labour,1.65,7,6,2,0,3,5,3,2
National,DK,0.51,8,3,1,4,4,1,7,2
Labour,Labour,1.05,4,7,5,3,0,3,4,3
National,No Vote,0.38,6,5,0,5,5,6,5,5
Labour,Labour,0.77,5,6,0,0,8,7,1,7
National,National,0.33,10,5,0,7,5,0,8,0
National,National,1.80,8,0,6,2,8,0,4,1
Labour,Labour,1.05,5,7,1,0,0,5,7,7
Labour,Green,0.23,7,9,0,0,0,0,10,0
Labour,Labour,1.56,8,8,5,7,5,8,5,5
Labour,DK,4.48,1,10,0,2,3,10,0,3
National,NZFirst,0.86,7,2,6,4,4,1,0,6
National,National,0.33,8,4,1,6,6,4,4,5
No Vote,No Vote,8.18,5,5,5,5,5,5,0,5
National,National,0.33,10,5,0,5,0,0,0,0
No Vote,No Vote,0.70,7,7,5,5,5,5,5,5
National,National,0.33,10,3,4,0,0,0,0,0
National,National,0.33,10,5,8,0,0,5,0,0
Labour,Labour,0.77,5,8,5,2,0,6,5,5
No Vote,Maori,3.33,2,7,4,2,2,8,9,2
National,Green,0.86,7,3,0,5,0,8,0,0
Green,Other,0.56,5,6,4,2,7,6,7,6
National,,1.65,7,4,0,0,5,2,0,0
Green,National,0.56,7,6,5,2,4,8,5,7
Act,National,0.55,7,7,1,0,8,5,3,1
Green,No Vote,1.28,5,3,5,0,3,8,5,0
National,Labour,0.33,9,7,2,3,1,5,5,5
National,National,0.86,10,2,1,9,9,5,2,0
NZ First,No Vote,2.57,5,8,7,4,4,3,7,3
Labour,DK,1.61,4,7,5,5,0,3,0,10
Labour,Labour,0.77,5,7,0,3,0,8,0,5
National,National,1.65,10,2,2,3,3,2,1,2
Labour,Labour,0.46,1,10,0,0,0,3,0,0
National,National,0.53,8,3,0,0,8,5,5,0
Labour,Labour,0.30,9,10,5,1,0,2,0,0
National,National,0.33,10,0,0,4,4,0,0,2
National,National,0.33,10,0,0,0,0,0,0,0
National,National,0.53,9,0,4,5,6,0,3,1
Kiwi,DK,3.39,4,1,1,4,1,0,0,0
Act,Act,0.93,8,3,0,9,9,0,9,0
National,National,0.53,7,5,5,0,4,1,0,7
Labour,Labour,0.30,5,9,6,0,9,6,5,0
Labour,Labour,0.30,0,10,0,0,0,0,0,0
National,Labour,1.56,4,9,0,3,3,3,0,1
National,National,1.10,10,6,1,4,5,4,0,0
Green,Green,0.28,8,10,5,2,0,10,5,8
Labour,Labour,3.19,5,10,5,0,0,0,5,0
United F,United F,0.59,7,7,0,0,0,3,5,0
National,Labour,0.86,6,5,1,1,2,5,5,2
National,Labour,3.57,8,4,4,7,7,3,2,0
Green,Green,0.42,4,9,5,4,2,9,9,9
National,Labour,1.80,5,5,0,5,5,5,5,5
Labour,Labour,1.61,5,10,5,7,3,0,5,4
National,Labour,3.33,10,2,10,3,3,10,0,0
National,Act,0.66,0,0,0,0,0,0,0,0
National,National,0.51,8,2,0,2,6,2,4,2
Labour,Labour,0.77,7,10,0,0,0,2,4,10
National,National,1.65,10,0,0,0,8,5,0,2
National,National,0.53,10,1,5,9,9,0,1,0
National,National,0.70,9,6,7,3,8,6,1,5
Labour,Labour,0.30,0,10,0,0,3,4,2,2
Labour,Labour,0.59,5,7,3,4,2,5,5,0
National,National,0.33,10,0,0,5,5,0,5,0
National,National,0.26,10,4,4,4,5,5,3,3
National,National,1.80,10,6,0,2,4,1,0,0
National,Labour,1.80,8,4,2,7,7,4,1,1
Act,National,0.93,10,3,3,5,8,0,5,1
Labour,No Vote,1.61,5,10,0,0,0,0,0,0
National,Labour,1.56,8,9,4,7,5,5,3,2
Labour,Labour,0.30,6,4,7,2,3,5,2,3
Labour,Labour,0.30,5,10,3,8,3,8,3,3
Labour,DK,1.48,5,8,0,0,0,0,0,0
National,DK,1.80,10,3,1,3,9,6,2,2
National,National,0.86,9,3,0,7,6,5,5,2
National,National,1.10,10,0,0,1,2,0,1,0
