27
ACT New Zealand
Alliance
Aotearoa Legalise Cannabis
Christian Coalition
Christian Heritage
Conservative Party
Democrats for Social Credit
Destiny New Zealand
Family Party
Green Party
Jim Anderton's Progressive
Kiwi Party
Labour
Libertarianz
Maori Party
Mana
National
New Zealand First Party
New Zealand Pacific Party
Others
Outdoor Recreation NZ
Progressive Coalition
RAM - Residents Action Movement
The Bill and Ben Party
The Republic of New Zealand Party
United Future
Workers Party
