National,"1058636",42
Labour,"614937",22
Green,"247372",0
NZ First,"147544",0
Maori,"31982",3
Mana,"24168",1
Act,"23889",1
UF,"13443",1
Conservative Party,"59237",0
Aotearoa Legalise Cannabis Party,"11738",0
Democrats for Social Credit,"1714",0
Libertarianz,"1595",0
Alliance,"1209",0
