lijphart,raes,loosemorehanby,gallagher,enp,pca,governability,entropy,entropyseatprop,
0.00401042016806723,0.00262375350140056,0.0104950140056023,0.0067377994516823,7.99604743083004,2.37095464963213,0.142857142857143,-1.94591014905531,-2.07919010041955,
0.00281333333333333,0.00192666666666667,0.00770666666666667,0.00449149319392906,8,3.90109163767519,0.125,-2.07944154167984,-2.07944154167984,
0.00212,0.00114666666666667,0.00458666666666666,0.00274918977963407,8,3.99008351995995,0.125,-2.07944154167984,-2.07944154167984,
0.00354375350140056,0.00235302521008403,0.00941210084033612,0.00616011059583059,7.99604743083004,1.97283519893546,0.142857142857143,-1.94591014905531,-2.07919010041955,
0.00313333333333334,0.00122333333333333,0.00489333333333333,0.00304601743629649,8,4.12818824019448,0.125,-2.07944154167984,-2.07944154167984,
0.00281333333333333,0.00129666666666666,0.00518666666666666,0.00317156813649721,8,4.06259579029457,0.125,-2.07944154167984,-2.07944154167984,
0.00417197740112994,0.00293694915254237,0.0117477966101695,0.00650074220528493,7.98394495412844,1.34497167188734,0.135714285714286,-2.037815793367,-2.07844022221304,
0.00172,0.00122666666666667,0.00490666666666666,0.00284053203154307,8,5.02511552347012,0.125,-2.07944154167984,-2.07944154167984,
0.00277333333333334,0.0018,0.00719999999999999,0.00424117384170415,8,4.48250757085639,0.125,-2.07944154167984,-2.07944154167984,
0.00244,0.000963333333333335,0.00385333333333334,0.00267478763435322,8,4.12988345405672,0.125,-2.07944154167984,-2.07944154167984,
0.00181333333333333,0.000956666666666665,0.00382666666666666,0.0020852497851976,8,4.65920904661994,0.125,-2.07944154167984,-2.07944154167984,
0.00438375350140055,0.00181865546218488,0.00727462184873951,0.00457833393707808,7.97802816901409,1.13584589742594,0.137551020408163,-2.02801844362185,-2.07806882079965,
0.00183999999999999,0.00118,0.00472,0.00258157574619327,8,5.02492021105129,0.125,-2.07944154167984,-2.07944154167984,
0.00219999999999999,0.00107,0.00427999999999999,0.00261401351692501,8,4.10838414729572,0.125,-2.07944154167984,-2.07944154167984,
0.0028,0.00145,0.00579999999999999,0.00330596766805457,8,3.4514947640726,0.125,-2.07944154167984,-2.07944154167984,
0.00278375350140056,0.00165375350140056,0.00661501400560224,0.00398869889254444,7.99604743083004,1.92231836486383,0.142857142857143,-1.94591014905531,-2.07919010041955,
0.00204,0.00104666666666666,0.00418666666666665,0.00275287324646651,8,5.10695285449206,0.125,-2.07944154167984,-2.07944154167984,
0.00216,0.00171666666666666,0.00686666666666666,0.00402260280581283,8,4.94555310043364,0.125,-2.07944154167984,-2.07944154167984,
0.00189333333333333,0.000743333333333332,0.00297333333333333,0.00178023718769282,8,4.35500994365006,0.125,-2.07944154167984,-2.07944154167984,
0.00237333333333334,0.000923333333333333,0.00369333333333333,0.00223487508972351,8,4.0605391381641,0.125,-2.07944154167984,-2.07944154167984,
0.00230666666666667,0.00143666666666666,0.00574666666666666,0.00325049056126746,8,5.44679035103975,0.125,-2.07944154167984,-2.07944154167984,
0.00197333333333333,0.000589999999999999,0.00235999999999999,0.00172263364261431,8,3.39857621421982,0.125,-2.07944154167984,-2.07944154167984,
0.00332,0.00142,0.00567999999999998,0.00348262991302709,8,5.13648628838024,0.125,-2.07944154167984,-2.07944154167984,
0.00164,0.000806666666666671,0.00322666666666668,0.00209880389216759,8,5.20812888215653,0.125,-2.07944154167984,-2.07944154167984,
0.00134666666666666,0.000943333333333336,0.00377333333333334,0.00209677000275292,8,5.5031626024649,0.125,-2.07944154167984,-2.07944154167984,
0.00256000000000001,0.000810000000000003,0.00324000000000001,0.00234427908842878,8,4.48265286762608,0.125,-2.07944154167984,-2.07944154167984,
0.00305333333333334,0.00104,0.00416,0.0028294011930285,8,4.14531275940832,0.125,-2.07944154167984,-2.07944154167984,
0.00268,0.00153333333333333,0.00613333333333333,0.00335237229436111,8,5.2645205800597,0.125,-2.07944154167984,-2.07944154167984,
0.00228,0.00142666666666667,0.00570666666666667,0.00313395738466382,8,4.85232181341829,0.125,-2.07944154167984,-2.07944154167984,
0.00274666666666666,0.00123666666666667,0.00494666666666667,0.00288647420451549,8,4.45345577673958,0.125,-2.07944154167984,-2.07944154167984,
0.00224000000000001,0.00170666666666667,0.00682666666666666,0.00395667649535426,8,4.75621348691819,0.125,-2.07944154167984,-2.07944154167984,
0.00333042016806723,0.00269719887955182,0.0107887955182073,0.00643999056106954,7.98702763677383,1.45321109854416,0.138775510204082,-2.02577755460644,-2.0786294606096,
0.00117333333333333,0.000640000000000002,0.00256000000000001,0.00148826520934051,8,4.56307491927954,0.125,-2.07944154167984,-2.07944154167984,
0.00129333333333333,0.000829999999999997,0.00331999999999999,0.00190512758394578,8,4.9274672948844,0.125,-2.07944154167984,-2.07944154167984,
0.00316,0.00146666666666667,0.00586666666666667,0.0035785037220728,8,4.85489640199089,0.125,-2.07944154167984,-2.07944154167984,
0.00222666666666667,0.00130666666666667,0.00522666666666668,0.00279297531516323,8,3.36190357905204,0.125,-2.07944154167984,-2.07944154167984,
0.00218666666666667,0.00115666666666667,0.00462666666666667,0.00330284725653488,8,4.98118667713407,0.125,-2.07944154167984,-2.07944154167984,
0.00219999999999999,0.000993333333333336,0.00397333333333334,0.00272355976210874,8,4.9516742927152,0.125,-2.07944154167984,-2.07944154167984,
0.00198666666666666,0.00118666666666667,0.00474666666666667,0.0027665943765656,8,5.99343856461314,0.125,-2.07944154167984,-2.07944154167984,
0.00186666666666667,0.000990000000000003,0.00396000000000001,0.00240909388221658,8,5.31926430906882,0.125,-2.07944154167984,-2.07944154167984,
