lijphart,raes,loosemorehanby,gallagher,enp,pca,governability,entropy,entropyseatprop,dm
0.447900556,0.114512361,0.458049444,0.348510494,2.081526453,2.836069855,1,-1.11E-15,-1.066713922,1
0.182975833,0.074730139,0.298920556,0.182432731,4.430769231,2.424068699,0.233333333,-1.528344891,-1.581598008,1
0.307989722,0.102476528,0.409906111,0.260897191,4.227833235,2.626760362,0.373424036,-1.41347264,-1.719953228,1
0.252870833,0.088725833,0.354903333,0.23515148,2.850356295,2.454631894,0.335,-1.33136678,-1.23342787,1
0.429839722,0.107459931,0.429839722,0.32640476,2.333873582,2.615831811,1,-1.11E-15,-1.059127286,1
0.300742222,0.081407153,0.325628611,0.234678099,3.402646503,2.320762587,0.333333333,-1.242453325,-1.365158944,1
0.155225556,0.072317639,0.289270556,0.174569483,2.991275447,2.513514616,0.333333333,-1.242453325,-1.258221419,1
0.307526111,0.076881528,0.307526111,0.23674942,3.746097815,2.519523912,0.305,-1.426057217,-1.505374651,1
0.267424167,0.12701125,0.508045,0.296590589,2.724177072,2.654584516,0.23031746,-1.647456534,-1.234985095,1
0.399431944,0.099857986,0.399431944,0.304651909,1.613626177,2.499934696,1,-1.11E-15,-0.795485828,1
0.263084444,0.077039306,0.308157222,0.21725477,4.419889503,2.398343501,0.291621315,-1.533194632,-1.701579174,1
0.171400556,0.063804931,0.255219722,0.170295282,3.107466552,2.209156203,0.34,-1.367965652,-1.344742734,1
0.521530278,0.130382569,0.521530278,0.402259023,1.80496365,2.49015342,1,-1.11E-15,-0.986038281,1
0.4331625,0.108290625,0.4331625,0.334377356,2.16802168,2.522280932,1,-1.11E-15,-1.156745776,1
0.423815278,0.120257083,0.481028333,0.338512007,2.287166455,2.711932532,1,-1.11E-15,-1.046548209,1
0.161941667,0.066239931,0.264959722,0.164861287,4.042672656,2.423199905,0.333333333,-1.242453325,-1.546095707,1
0.276841944,0.100893958,0.403575833,0.248127952,2.481902792,2.685482564,1,-1.11E-15,-1.102732437,1
0.236819444,0.070448264,0.281793056,0.194571461,4.159445407,2.223223293,0.277777778,-1.406723695,-1.537956918,1
0.3838475,0.104167014,0.416668056,0.305106481,2.338421565,2.535631319,1,-1.11E-15,-1.143481381,1
0.157833889,0.059653264,0.238613056,0.146764529,3.481624758,2.429276318,0.247222222,-1.491438689,-1.364200529,1
0.379400833,0.115997778,0.463991111,0.31371504,2.571428571,2.396929547,1,-1.11E-15,-1.177508134,1
0.509203889,0.127300972,0.509203889,0.38848709,2.145411204,2.850932081,1,-1.11E-15,-1.117643407,1
0.276385556,0.082014653,0.328058611,0.227472255,3.021401595,2.108085091,0.333333333,-1.242453325,-1.241894342,1
0.326075278,0.089639514,0.358558056,0.255464499,1.80496365,2.542229563,1,-1.11E-15,-0.858442004,1
0.472898333,0.118224583,0.472898333,0.359600435,2.282091918,2.559869229,1,-1.11E-15,-1.160480063,1
0.390532778,0.111616736,0.446466944,0.310515923,2.635431918,2.51024549,1,-1.11E-15,-1.222364283,1
0.225763611,0.096975278,0.387901111,0.223763349,3.580308304,2.520460856,0.28,-1.412933626,-1.427656098,1
0.247316944,0.10625625,0.425025,0.254526202,4.270462633,2.434409495,0.254444444,-1.570558402,-1.592031682,1
0.361533333,0.111233472,0.444933889,0.300446561,2.965403624,2.276053934,1,-1.11E-15,-1.323133281,1
0.289229167,0.091272014,0.365088056,0.240711581,3.304268013,2.550653464,0.4,-1.227529411,-1.367744316,1
0.198322222,0.074793958,0.299175833,0.188245833,4.5,2.335478208,0.228888889,-1.599611548,-1.579952646,1
0.130636389,0.056780556,0.227122222,0.139919756,2.932790224,2.810778378,0.228888889,-1.599611548,-1.254534748,1
0.270144167,0.087456736,0.349826944,0.229494907,2.750190985,2.224251798,0.463333333,-1.105830038,-1.176588924,1
0.324943333,0.082209653,0.328838611,0.260034217,2.987551867,2.488188107,1,-1.11E-15,-1.3610071,1
0.426656111,0.139155208,0.556620833,0.358655327,2.424242424,3.051643912,1,-1.11E-15,-1.202742092,1
0.368891111,0.093489514,0.373958056,0.288831856,2.477632485,2.465163386,1,-1.11E-15,-1.182364888,1
0.521530278,0.130382569,0.521530278,0.402259023,1.80496365,2.49015342,1,-1.11E-15,-0.986038281,1
0.437811944,0.109452986,0.437811944,0.336013473,2.441505595,2.661553511,1,-1.11E-15,-1.32930633,1
0.423815278,0.120257083,0.481028333,0.338512007,2.287166455,2.711931358,1,-1.11E-15,-1.046548209,1
0.161941667,0.066239931,0.264959722,0.164861287,4.042672656,2.4231999,0.333333333,-1.242453325,-1.546095707,1
0.164391111,0.086201667,0.344806667,0.19685453,3.443328551,2.510825948,0.333333333,-1.098612289,-1.364086925,1
0.434959722,0.108739931,0.434959722,0.334941938,1.958118031,2.249656411,1,-1.11E-15,-0.890777429,1
0.3838475,0.104167014,0.416668056,0.305106481,2.338421565,2.535631303,1,-1.11E-15,-1.143481381,1
0.157833889,0.059653264,0.238613056,0.146764529,3.481624758,2.429308963,0.247222222,-1.491438689,-1.364200529,1
0.379400833,0.115997778,0.463991111,0.31371504,2.571428571,2.396934595,1,-1.11E-15,-1.177508134,1
0.509203889,0.127300972,0.509203889,0.38848709,2.145411204,2.815953339,1,-1.11E-15,-1.117643407,1
0.366653333,0.092392222,0.369568889,0.281443792,3.043110735,2.729564446,0.7,-0.718800861,-1.342210691,1
0.083556389,0.051489375,0.2059575,0.120933717,5.401350338,2.565108294,0.219450113,-1.717689227,-1.804755952,1
0.401553611,0.107215764,0.428863056,0.316894542,3.257918552,2.66985551,0.466666667,-1.172993472,-1.428778386,1
0.275345278,0.080009028,0.320036111,0.230007224,3.149606299,2.527164354,0.738095238,-0.666081957,-1.433147494,1
0.4606225,0.115530556,0.462122222,0.358513269,2.321831667,2.425917103,1,-1.11E-15,-1.227866251,1
0.175008611,0.078591528,0.314366111,0.189233136,3.966942149,2.933730289,0.281428571,-1.520868488,-1.568742546,1
0.336121944,0.100111181,0.400444722,0.278900237,3.001250521,2.467705839,0.4,-1.227529411,-1.272447471,1
0.295745833,0.081638264,0.326553056,0.239929844,4.081632653,2.56795704,0.257743764,-1.490970549,-1.625512911,1
0.446179722,0.118603681,0.474414722,0.347395723,2.568676418,2.663054563,1,-1.11E-15,-1.257033395,1
0.205988889,0.10174,0.40696,0.247526409,2.815799765,3.004843482,0.333333333,-1.098612289,-1.110723846,1
0.360175556,0.096420625,0.3856825,0.290185784,3.272727273,2.659916941,0.4,-1.227529411,-1.383414964,1
0.174954444,0.070062569,0.280250278,0.174815612,3.582089552,2.938661353,0.333333333,-1.098612289,-1.380777774,1
0.3927325,0.11714,0.46856,0.323137879,2.536104262,2.435795124,1,-1.11E-15,-1.207598863,1
0.379243056,0.099458958,0.397835833,0.299107862,3.367633302,2.829496763,0.523809524,-1.110200866,-1.519815001,1
0.267708611,0.070279861,0.281119444,0.221820898,3.527682509,2.683473157,0.333333333,-1.242453325,-1.379558712,1
0.360228333,0.103723403,0.414893611,0.293816208,2.720060446,2.435474244,1,-1.11E-15,-1.165916579,1
0.4273975,0.110662708,0.442650833,0.334098829,2.377807133,2.483858743,1,-1.11E-15,-1.152330281,1
0.454759722,0.113689931,0.454759722,0.351820889,1.502504174,2.556481741,1,-1.11E-15,-0.720998922,1
