"","lijphart","raes","loosemorehanby","gallagher","enp","pca","governability","entropy","entropyseatprop","X","dm"
"14240",0.158364591147787,0.0968813631979424,0.339084771192798,0.26583289233394,4.68780487804878,NA,0.2,-1.6094379124341,-1.57007362256408,NA,120
"14241",0.158391881342701,0.0975131036020966,0.341295862607338,0.239779685438142,4.5,NA,0.2,-1.6094379124341,-1.53880476383987,NA,120
"14242",0.158410583236771,0.0614412624841362,0.215044418694477,0.160082607818326,3.75244299674267,NA,0.333333333333333,-1.09861228866811,-1.39437606494932,NA,60
"14243",0.158417681947988,0.0572017583457452,0.200206154210108,0.140782448171454,1.97757009345794,1.64055699874369,1,-2.22044604925031e-16,-0.792584299809513,NA,5
"14244",0.158431126495699,0.0526160003261249,0.184156001141437,0.13536490573761,1.86934960900248,1.44462510742858,1,-2.22044604925031e-16,-0.769370451715579,NA,3
"14245",0.158463917257868,0.0552686483496494,0.193440269223773,0.138893932517258,1.86190845616757,1.76444337832395,1,-2.22044604925031e-16,-0.775608803964584,NA,2
"14246",0.158476478625805,0.0977245475586292,0.342035916455202,0.281777933187347,3.80206540447504,NA,0.333333333333333,-1.09861228866811,-1.42101103401162,NA,60
"14247",0.158566978193146,0.0849577214063195,0.297352024922118,0.220860245554295,4.5,NA,0.2,-1.6094379124341,-1.53880476383987,NA,120
"14248",0.158720330237358,0.0749520860975969,0.262332301341589,0.220065189314757,4.10900473933649,NA,0.333333333333333,-1.09861228866811,-1.48306481850445,NA,60
"14249",0.158725252367165,0.0647723758100157,0.226703315335055,0.150769136840462,1.92564856913613,2.0224307756682,1,-2.22044604925031e-16,-0.775204736017088,NA,2
"14250",0.158741258741259,0.0917748917748918,0.321212121212121,0.214439672279432,4.54545454545455,NA,0.18,-1.74806734854609,-1.5850145758772,NA,120
"14251",0.158741258741259,0.0924408924408924,0.323543123543124,0.25341544131664,4.5,NA,0.2,-1.6094379124341,-1.53880476383987,NA,120
"14252",0.158772971474928,0.0513254444280824,0.179639055498288,0.133051702490882,2.01957552029672,1.59262144969508,1,-2.22044604925031e-16,-0.851139562057787,NA,3
"14253",0.158778098329126,0.0622074730441121,0.217726155654392,0.146532204435678,1.95920177383592,1.51263313440438,1,-2.22044604925031e-16,-0.809332739193461,NA,4
"14254",0.158786090518923,0.0610231685338982,0.213581089868644,0.145866987496115,1.91203319502075,1.44062932536023,1,-2.22044604925031e-16,-0.793880444610767,NA,4
"14255",0.158788864151238,0.0592057540147533,0.207220139051637,0.143593538789233,1.91203319502075,1.65045565306642,1,-2.22044604925031e-16,-0.793880444610767,NA,4
"14256",0.158797346098933,0.050539298611861,0.176887545141513,0.135239915217545,1.97369502671599,1.71707123311375,1,-2.22044604925031e-16,-0.868192001068472,NA,3
"14257",0.158807737569874,0.0604516034127685,0.21158061194469,0.142171698525473,1.98023205844435,1.88507857921267,1,-2.22044604925031e-16,-0.843189361052504,NA,3
"14258",0.158819046090898,0.0574236546076572,0.2009827911268,0.142078998309517,1.89277811305572,1.69441408398319,1,-2.22044604925031e-16,-0.802876490154797,NA,4
"14259",0.15882451900391,0.0597159070592987,0.209005674707545,0.144765297206395,1.99889258028793,1.25912009652199,1,-2.22044604925031e-16,-0.819412734273877,NA,4
"14260",0.158833333333333,0.0698095238095238,0.244333333333333,0.210153538245703,3.85284280936455,NA,0.333333333333333,-1.09861228866811,-1.41310718399965,NA,60
"14261",0.158835456428792,0.0615388228558767,0.215385879995568,0.14709918561314,1.83492548719908,1.71201084250181,1,-2.22044604925031e-16,-0.745710556978825,NA,3
"14262",0.158871785418011,0.0453919386908602,0.158871785418011,0.128121855145247,1.79816696553098,1.43039465435132,1,-2.22044604925031e-16,-0.825309618081462,NA,5
"14263",0.15887306541813,0.0614895119186965,0.215213291715438,0.144375180026256,1.97965356062689,1.44282756489131,1,-2.22044604925031e-16,-0.811649490194206,NA,2
"14264",0.158878504672897,0.0854472630173565,0.299065420560748,0.213129709008995,4,NA,0.25,-1.38629436111989,-1.38629436111989,NA,120
"14265",0.158897067414418,0.0548534959023918,0.191987235658371,0.137852819722153,1.90020618556701,1.5225561192948,1,-2.22044604925031e-16,-0.780980459391728,NA,6
"14266",0.158901463455603,0.0518587681571463,0.181505688550012,0.137477632372305,1.88973689495883,1.92099930935523,1,-2.22044604925031e-16,-0.777082550797158,NA,5
"14267",0.158914728682171,0.0945736434108527,0.331007751937984,0.220264193924689,4.54545454545455,NA,0.18,-1.74806734854609,-1.5850145758772,NA,120
"14268",0.158961187214612,0.074853228962818,0.261986301369863,0.222287675113794,3.85284280936455,NA,0.333333333333333,-1.09861228866811,-1.41310718399965,NA,60
"14269",0.159105395582891,0.0491537201964935,0.172038020687727,0.133708749915025,1.93395086588804,2.15955084084112,1,-2.22044604925031e-16,-0.825696038505873,NA,4
"14270",0.159129860909736,0.0468332930980546,0.163916525843191,0.130153200165124,1.83161378236325,1.5071913774114,1,-2.22044604925031e-16,-0.81839199036783,NA,5
"14271",0.159324275754741,0.0542225547640974,0.189778941674341,0.137486210321703,1.95166977805435,1.84029496550604,1,-2.22044604925031e-16,-0.816974912864571,NA,3
"14272",0.159329274602599,0.06262335111948,0.21918172891818,0.148201229677054,1.88880323761804,1.61221670354886,1,-2.22044604925031e-16,-0.727043474129209,NA,4
"14273",0.159351828452734,0.0543917470218467,0.190371114576463,0.137243814977929,1.91086174041923,1.30319821136107,1,-2.22044604925031e-16,-0.784905599948394,NA,6
"14274",0.159365805818895,0.0892448512585813,0.312356979405034,0.251615024459007,4.26086956521739,NA,0.233333333333333,-1.51792169058466,-1.48882344069199,NA,120
"14275",0.159376273195304,0.0602447356956783,0.210856574934874,0.143482944426581,1.99447513812155,1.25725140849981,1,-2.22044604925031e-16,-0.809205473228318,NA,3
"14276",0.159377415314091,0.0630884799750235,0.220809679912582,0.149168907312643,1.95667797963665,1.77160579283688,1,-2.22044604925031e-16,-0.782329808753404,NA,3
"14277",0.159413965087282,0.0556666369789811,0.194833229426434,0.139804463974118,1.91336699441935,1.64447396592036,1,-2.22044604925031e-16,-0.832309781850622,NA,2
"14278",0.159415571757184,0.0587527778860774,0.205634722601271,0.142506307827755,1.98511166253102,1.57822878641631,1,-2.22044604925031e-16,-0.829299582730313,NA,2
