6,
308,
0,23280,1033,2713,15769,0,
11567,6366,1260,9422,22050,224,
0,26899,1996,2221,3478,805,
0,12604,2796,22832,16818,620,
20593,4884,1259,5352,24514,0,
0,32493,2138,4968,10089,286,
5615,7089,1221,3282,13961,0,
15258,4777,694,2859,24763,0,
0,7456,0,6491,32067,0,
14908,3770,620,13087,14200,299,
0,24797,1561,21569,8270,71,
12504,6157,798,12070,23098,245,
0,10991,1130,5374,18747,0,
0,30240,2963,14594,10956,247,
16880,6497,1506,7135,25802,459,
0,14749,218,16008,5157,276,
0,32121,3266,9113,11842,309,
19046,6478,1479,5024,17705,0,
0,19203,785,950,7767,0,
0,11067,2240,14967,20265,130,
3535,26799,852,5833,15831,0,
18182,7049,1003,4559,23998,0,
10250,13845,950,3162,24306,246,
0,14811,1913,17399,10397,0,
16668,7904,1196,8060,22403,373,
0,8595,279,17977,4306,0,
6105,3354,613,15550,12270,121,
0,19907,1748,16402,19368,371,
0,28320,1224,22128,11225,387,
0,24618,1926,14221,10022,219,
0,22386,2012,1882,8845,0,
0,28045,1858,10780,16351,312,
0,19273,3153,1872,25206,0,
11173,6256,1120,11589,22407,0,
10890,7806,900,16976,25512,110,
0,28744,5099,8203,9008,0,
0,32958,2151,14154,11449,140,
0,19932,1754,5451,20943,630,
0,16009,1731,4496,22193,254,
0,28401,4889,8631,7314,0,
0,28443,6578,7046,8048,203,
0,23372,2047,4102,4894,246,
0,23550,1953,11487,4262,206,
0,48173,4079,4020,6482,418,
0,42998,2991,4121,6823,303,
0,39996,6070,11374,6679,227,
0,40384,3480,6501,7189,0,
0,29394,1978,8285,15238,153,
0,10873,1141,16478,6984,0,
0,8107,373,10486,2164,0,
0,24443,2702,2200,13135,1038,
0,43723,3434,18393,11223,0,
0,21593,1406,5614,9412,0,
19147,5425,1072,6165,29591,7843,
8732,16220,832,3505,24131,189,
0,23264,1587,7433,8134,0,
0,6040,417,7292,4632,87,
0,23360,1470,7172,11449,0,
14675,12881,780,2852,19430,340,
0,28160,2706,5320,12691,353,
14957,5756,923,5069,29156,162,
0,5256,471,4087,10262,0,
13179,5982,1241,6132,24097,0,
0,44115,1711,1224,4805,667,
0,21041,2109,7264,9322,375,
0,20555,788,1838,6248,0,
0,10702,1662,15181,15678,0,
0,18543,1243,1947,7657,0,
0,5573,1344,10946,21096,295,
0,26059,2324,8112,11181,367,
0,10509,560,1144,9715,0,
0,14422,1114,13552,9878,246,
0,22962,1703,22351,6280,186,
10410,7555,987,3979,24489,0,
0,28647,7132,6361,6409,0,
0,31737,3134,10387,12277,649,
0,23625,1676,11037,12480,370,
0,24111,1345,3176,17078,0,
0,37778,2896,7270,11488,0,
0,27857,1364,5066,10875,474,
0,24623,1926,4131,7971,16485,
0,41782,2232,5483,9272,0,
0,34468,2409,5796,11644,0,
0,19762,1119,1372,26093,384,
0,22652,1534,18590,5613,0,
0,10467,320,5997,2369,0,
0,29147,1529,6812,12439,722,
0,15298,1017,1660,14998,0,
0,25792,5341,6439,26198,326,
0,25327,1290,7465,18538,77,
0,21644,1377,21618,7735,149,
0,10357,0,13665,7630,583,
0,21997,2159,19128,11046,190,
0,23950,1476,8041,16533,370,
0,21988,1374,3190,4053,0,
0,21573,1790,10336,10626,266,
0,21206,1757,3668,9845,0,
11650,6292,913,5533,12427,0,
8619,4532,639,7975,35262,0,
0,28174,2049,17705,9608,194,
0,19352,3619,25588,9880,582,
0,25655,1665,12549,10062,435,
0,35192,2963,7539,12934,0,
0,8276,2020,11793,23746,152,
0,13782,1931,16230,13239,0,
0,44214,2778,20903,12960,249,
0,11020,0,5912,23849,1032,
0,17567,1450,6411,21931,1178,
0,17936,1505,8787,25595,441,
12633,5253,707,8964,7484,0,
14451,3126,798,5064,22314,569,
8935,5992,770,14641,17545,351,
5019,6058,1125,12051,35194,0,
0,7559,253,17119,4751,332,
0,29255,1455,8784,13493,254,
12635,4678,1377,10054,23293,121,
18804,5525,2227,3545,27050,0,
9554,18569,652,1043,22900,0,
0,29682,2932,3026,20983,191,
0,34566,5265,7069,13322,0,
0,11567,636,5381,6855,147,
0,22670,1020,3199,11727,363,
0,14714,1520,15887,8043,0,
0,21189,2561,23842,13065,0,
0,21119,1972,15592,10742,384,
0,28902,2184,10653,11665,0,
