Party Name,Local seats,Party votes,Threshold: 0%,Threshold: 1%,Threshold: 2%,Threshold: 3%,Threshold: 4%,Threshold: 5%,
National Party,42,0.47314102036949,57,58,58,59,59,59,
Labour Party,22,0.274836600722961,33,33,33,34,34,34,
Green Party,0,0.110559097263688,13,13,13,14,14,14,
New Zealand First Party,0,0.0659425134884852,8,8,8,8,8,8,
M?ori Party,3,0.01429386126436,3,3,3,3,3,3,
Mana,1,0.0108015145718546,1,1,1,1,1,1,
ACT New Zealand,1,0.0106768198281626,1,1,1,1,1,1,
United Future,1,0.00600814136003976,1,1,1,1,1,1,
Conservative Party,0,0.0264750628389999,3,3,3,0,0,0,
Aotearoa Legalise Cannabis Party,0,0.00524611792636664,1,0,0,0,0,0,
Democrats for Social Credit,0,0.00076604584475996,0,0,0,0,0,0,
Libertarianz,0,0.000712860631500663,0,0,0,0,0,0,
Alliance,0,0.000540343889331851,0,0,0,0,0,0,
