Party Name,Local seats,Party votes,Threshold: 0%,Threshold: 1%,Threshold: 2%,Threshold: 3%,Threshold: 4%,Threshold: 5%,
National,30,0.337662337662338,41,41,42,42,42,44,
Labour,26,0.281718281718282,34,34,35,35,35,37,
NZ First,6,0.133866133866134,16,16,17,17,17,17,
Alliance,1,0.100899100899101,12,12,12,12,12,13,
ACT NZ,1,0.0609390609390609,7,7,8,8,8,8,
United,1,0.00899100899100899,1,1,1,1,1,1,
Christian Coalition,0,0.042957042957043,5,5,5,5,5,0,
Aotearoa Legalise Cannabis,0,0.016983016983017,2,2,0,0,0,0,
Others,0,0.015984015984016,2,2,0,0,0,0,
