Party Name,Local seats,Party votes,Threshold: 0%,Threshold: 1%,Threshold: 2%,Threshold: 3%,Threshold: 4%,Threshold: 5%,
Labour,45,0.412587412587413,49,50,52,52,52,52,
National,21,0.208791208791209,25,25,27,27,27,27,
NZ First,1,0.103896103896104,12,12,13,13,13,13,
ACT NZ,0,0.0709290709290709,9,9,9,9,9,9,
Greens,0,0.0699300699300699,8,8,9,9,9,9,
United Future NZ,1,0.0669330669330669,8,8,8,8,8,8,
Progressive Coalition,1,0.016983016983017,2,2,2,2,2,2,
Christian Heritage,0,0.013986013986014,2,2,0,0,0,0,
Alliance,0,0.012987012987013,2,2,0,0,0,0,
Outdoor Recreation NZ,0,0.012987012987013,2,2,0,0,0,0,
Aotearoa Legalise Cannabis,0,0.00599400599400599,1,0,0,0,0,0,
Others,0,0.003996003996004,0,0,0,0,0,0,
