Party Name,Local seats,Party votes,Threshold: 0%,Threshold: 1%,Threshold: 2%,Threshold: 3%,Threshold: 4%,Threshold: 5%,
Labour,41,0.387387387387387,47,47,48,49,49,49,
National,22,0.305305305305305,37,37,38,39,39,39,
Alliance,1,0.0770770770770771,9,9,10,10,10,10,
ACT NZ,0,0.0700700700700701,8,8,9,9,9,9,
Greens,1,0.0520520520520521,6,6,6,7,7,7,
NZ First,1,0.043043043043043,5,5,5,5,5,5,
United,1,0.00500500500500501,1,1,1,1,1,1,
Christian Heritage,0,0.024024024024024,3,3,3,0,0,0,
Aotearoa Legalise Cannabis,0,0.011011011011011,1,1,0,0,0,0,
Future NZ,0,0.011011011011011,1,1,0,0,0,0,
Others,0,0.014014014014014,2,2,0,0,0,0,
