Conservative,197.305,158.245,209.304,198,
Greens,0,1.00155,6.46,0,
Labour,355.55,366.567,227.392,355,
Liberal Democrat,62.0961,85.1318,142.12,62,
Other,22.0341,23.0357,47.158,22,
Plaid Cymru,3.00465,5.00775,3.876,3,
SNP,6.0093,7.01085,9.69,6,
