Conservative,291,223,232.845,306,
Greens,0,0,5.805,1,
Labour,258,297,187.05,258,
Liberal Democrat,61,86,148.35,57,
Other,24,26,56.115,14,
Plaid Cymru,4,4,3.87,3,
SNP,7,9,10.965,6,
