Conservative,185.95,152.234,202.313,165,
Greens,0,0,1.977,0,
Labour,406.639,420.943,284.688,418,
Liberal Democrat,33.7163,52.107,110.712,46,
Other,21.4558,22.4775,42.835,20,
Plaid Cymru,4.08682,4.08682,3.295,4,
SNP,7.15194,7.15194,13.18,6,
