Conservative,184.847,160.995,203.197,166,
Greens,0,0,3.846,0,
Labour,388.575,390.563,260.887,413,
Liberal Democrat,36.7705,55.6527,117.303,52,
Other,20.8698,21.8636,39.742,1,
Plaid Cymru,3.97519,4.96899,4.487,4,
SNP,5.96279,6.95659,11.538,5,
