wpe,lijphart,loosemorehanby,raes,gallagher,enp,governability,entropy,
1,0.219186666666667,0.319158333333333,0.0911880952380952,0.21184625771614,3.4171808258187,0.333333333333333,-1.09861228866811,
1,0.323176666666667,0.425473333333333,0.12156380952381,0.286990737011764,3.26678765880218,0.24,-1.6094379124341,
1,0.244445,0.331093333333333,0.0945980952380952,0.221469759962343,3.94953373560066,0.4,-1.22752941145721,
1,0.256583333333333,0.300855,0.0859585714285714,0.210765707817156,3.45323741007194,0.277777777777778,-1.40672369477982,
1,0.389336666666667,0.389336666666667,0.111239047619048,0.302166958264246,2.1021897810219,1,-2.22044604925031E-16,
1,0.240061666666667,0.446155,0.127472857142857,0.256645350586715,3.6144578313253,0.333333333333333,-1.09861228866811,
1,0.195108333333333,0.274208333333333,0.0783452380952381,0.174384716678702,4.70588235294118,0.253333333333333,-1.51245147001107,
1,0.341676666666667,0.341676666666667,0.0976219047619048,0.277733939229616,2.75545350172216,1,-2.22044604925031E-16,
1,0.367445,0.367445,0.104984285714286,0.287496693338472,1.97206244864421,1,-2.22044604925031E-16,
1,0.267348333333333,0.323255,0.0923585714285714,0.223964052739373,4.29850746268657,0.366666666666667,-1.32258542202892,
1,0.21257,0.268723333333333,0.0767780952380952,0.179614708055883,3.23014804845222,0.333333333333333,-1.242453324894,
1,0.23121,0.270335,0.0772385714285714,0.191735650085968,2.86624203821656,0.583333333333333,-0.836988216785836,
1,0.478855,0.478855,0.136815714285714,0.373822150323148,2.14733074858336,1,-2.22044604925031E-16,
1,0.4307,0.4307,0.123057142857143,0.334075687590236,2.62582056892779,1,-2.22044604925031E-16,
1,0.511181666666667,0.511181666666667,0.146051904761905,0.39425326251028,1.95439739413681,1,-2.22044604925031E-16,
1,0.504876666666667,0.517373333333333,0.147820952380952,0.3948127469693,1.69931555345764,1,-2.22044604925031E-16,
1,0.460655,0.460655,0.131615714285714,0.357472329193308,2.33085140822273,1,-2.22044604925031E-16,
1,0.262705,0.305006666666667,0.0871447619047619,0.218591949137606,2.55047821466525,1,-2.22044604925031E-16,
1,0.17799,0.214433333333333,0.0612666666666667,0.158688365130459,3.32871012482663,0.333333333333333,-1.09861228866811,
1,0.299456666666667,0.422101666666667,0.120600476190476,0.273591611063725,3.06513409961686,0.4,-1.22752941145721,
1,0.519565,0.519565,0.148447142857143,0.403518130685186,1.90779014308426,1,-2.22044604925031E-16,
