year,threshold,p,lijphart,loosemorehanby,raes,gallagher,enp,governability,
1996,0,0,0.00407050321377428,0.00633846205082092,0.00140854712240465,0.0038541302050007,4.33734939759036,0.225053854875282,
1996,0.01,0,0.00407050321377428,0.00633846205082092,0.00140854712240465,0.0038541302050007,4.33734939759036,0.225053854875282,
1996,0.02,0,0.0124038365471076,0.0358327505245279,0.00796283344989509,0.0211257982675427,4.1002277904328,0.23235260770975,
1996,0.03,0,0.0124038365471076,0.0358327505245279,0.00796283344989509,0.0211257982675427,4.1002277904328,0.23235260770975,
1996,0.04,0,0.0124038365471076,0.0358327505245279,0.00796283344989509,0.0211257982675427,4.1002277904328,0.23235260770975,
1996,0.05,0,0.0290705032137742,0.0765902354547574,0.0170200523232794,0.0452248915496715,3.76175548589342,0.277777777777777,
1996,0.06,0,0.0290705032137742,0.0765902354547574,0.0170200523232794,0.0452248915496715,3.76175548589342,0.277777777777777,
1996,0.07,0,0.0290705032137742,0.0765902354547574,0.0170200523232794,0.0452248915496715,3.76175548589342,0.277777777777777,
1996,0.08,0,0.0290705032137742,0.0765902354547574,0.0170200523232794,0.0452248915496715,3.76175548589342,0.277777777777777,
1996,0.09,0,0.0290705032137742,0.0765902354547574,0.0170200523232794,0.0452248915496715,3.76175548589342,0.277777777777777,
1999,0,0,0.00457746478873239,0.0118376928236083,0.00236753856472166,0.00569722138220031,3.77358490566038,0.227836986646509,
1999,0.01,0,0.00457746478873239,0.0118376928236083,0.00236753856472166,0.00569722138220031,3.77358490566038,0.227836986646509,
1999,0.02,0,0.0106639839034205,0.0378101945003353,0.00756203890006707,0.019345055979663,3.58923230309073,0.245555555555554,
1999,0.03,0,0.0273306505700872,0.0619550637156271,0.0123910127431254,0.033144792461487,3.36763330215154,0.259999999999999,
1999,0.04,0,0.0273306505700872,0.0619550637156271,0.0123910127431254,0.033144792461487,3.36763330215154,0.259999999999999,
1999,0.05,0,0.0273306505700872,0.0619550637156271,0.0123910127431254,0.033144792461487,3.36763330215154,0.259999999999999,
1999,0.06,0,0.0273306505700872,0.0619550637156271,0.0123910127431254,0.033144792461487,3.36763330215154,0.259999999999999,
1999,0.07,0,0.0273306505700872,0.0619550637156271,0.0123910127431254,0.033144792461487,3.36763330215154,0.259999999999999,
1999,0.08,0,0.0606639839034205,0.130784708249497,0.0261569416498994,0.0768498105804489,2.94719607040524,0.358333333333332,
1999,0.09,0,0.0606639839034205,0.130784708249497,0.0261569416498994,0.0768498105804489,2.94719607040524,0.358333333333332,
